age_category,birth_institution,Country,sex
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
IJ,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
young_adult,Albuquerque BioPark Zoo,United States of America,F
